,DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,working_age_pop,Houses,CPI,UNRATE,Emp_Rate,Cons_Material,FEDFUNDS,Num_Households,Household_income,Subsidy,Population above 65
0,2004-01-01,155.752,2004.0,10.0,53242.0,189471600.0,3.9,190.8,5.5,71.2291,165.9,1.76,112000,65760.0,27.201,12.3047192322804
1,2004-01-01,157.528,2004.0,11.0,53401.0,189647800.0,4.3,191.7,5.4,71.36205,165.5,1.93,112000,65760.0,27.201,12.3047192322804
2,2004-01-01,159.33100000000002,2004.0,12.0,53560.0,189849000.0,4.1,191.7,5.4,71.30608000000001,166.3,2.16,112000,65760.0,27.201,12.3047192322804
3,2005-01-01,161.289,2005.0,1.0,53719.0,190030800.0,4.4,191.6,5.3,71.31815,168.6,2.28,113343,66780.0,27.651,12.3601628768533
4,2005-01-01,163.344,2005.0,2.0,53768.666666666664,190206400.0,4.3,192.4,5.4,71.23395,170.4,2.5,113343,66780.0,27.651,12.3601628768533
5,2005-01-01,165.813,2005.0,3.0,53818.333333333336,190429200.0,4.1,193.1,5.2,71.28214,170.0,2.63,113343,66780.0,27.651,12.3601628768533
6,2005-01-01,167.502,2005.0,4.0,53868.0,190493800.0,4.3,193.7,5.2,71.41856,170.0,2.79,113343,66780.0,27.651,12.3601628768533
7,2005-01-01,169.351,2005.0,5.0,53963.0,190683200.0,4.2,193.6,5.1,71.52468,168.1,3.0,113343,66780.0,27.651,12.3601628768533
8,2005-01-01,171.19099999999997,2005.0,6.0,54058.0,190897800.0,4.3,193.7,5.0,71.48533,167.8,3.04,113343,66780.0,27.651,12.3601628768533
9,2005-01-01,172.86,2005.0,7.0,54153.0,191053200.0,4.2,194.9,5.0,71.62051,167.2,3.26,113343,66780.0,27.651,12.3601628768533
10,2005-01-01,174.442,2005.0,8.0,54207.666666666664,191193200.0,4.5,196.1,4.9,71.81305,165.9,3.5,113343,66780.0,27.651,12.3601628768533
11,2005-01-01,176.437,2005.0,9.0,54262.333333333336,191475400.0,4.7,198.8,5.0,71.69244,168.9,3.62,113343,66780.0,27.651,12.3601628768533
12,2005-01-01,178.02700000000002,2005.0,10.0,54317.0,191700200.0,4.5,199.1,5.0,71.70146,171.6,3.78,113343,66780.0,27.651,12.3601628768533
13,2005-01-01,179.68,2005.0,11.0,54520.333333333336,191993800.0,5.0,198.1,5.0,71.56659,172.7,4.0,113343,66780.0,27.651,12.3601628768533
14,2005-01-01,180.91,2005.0,12.0,54723.666666666664,192185900.0,4.9,198.1,4.9,71.63467,173.5,4.16,113343,66780.0,27.651,12.3601628768533
15,2006-01-01,182.32,2006.0,1.0,54927.0,192324000.0,5.3,199.3,4.7,71.68746999999999,177.2,4.29,114384,67520.0,28.604,12.422071948027
16,2006-01-01,183.287,2006.0,2.0,54933.0,192512200.0,6.1,199.4,4.8,71.76935999999999,177.7,4.49,114384,67520.0,28.604,12.422071948027
17,2006-01-01,184.365,2006.0,3.0,54939.0,192619200.0,5.9,199.7,4.7,71.81908,178.3,4.59,114384,67520.0,28.604,12.422071948027
18,2006-01-01,184.328,2006.0,4.0,54945.0,192790300.0,6.3,200.7,4.7,71.79715999999999,179.0,4.79,114384,67520.0,28.604,12.422071948027
19,2006-01-01,184.155,2006.0,5.0,54925.333333333336,192948300.0,6.2,201.3,4.6,71.87263,179.9,4.94,114384,67520.0,28.604,12.422071948027
20,2006-01-01,183.507,2006.0,6.0,54905.666666666664,193183000.0,6.3,201.8,4.6,72.01233,180.7,4.99,114384,67520.0,28.604,12.422071948027
21,2006-01-01,183.066,2006.0,7.0,54886.0,193410800.0,7.3,202.9,4.7,72.02241,182.3,5.24,114384,67520.0,28.604,12.422071948027
22,2006-01-01,182.593,2006.0,8.0,54996.0,193525600.0,6.7,203.8,4.7,72.10639,182.6,5.25,114384,67520.0,28.604,12.422071948027
23,2006-01-01,182.798,2006.0,9.0,55106.0,193585100.0,6.7,202.8,4.5,72.05588,183.3,5.25,114384,67520.0,28.604,12.422071948027
24,2006-01-01,183.197,2006.0,10.0,55216.0,193711000.0,7.3,201.9,4.4,72.24441,182.3,5.25,114384,67520.0,28.604,12.422071948027
25,2006-01-01,183.608,2006.0,11.0,55230.666666666664,193924100.0,6.6,202.0,4.5,72.17589,179.8,5.25,114384,67520.0,28.604,12.422071948027
26,2006-01-01,184.138,2006.0,12.0,55245.333333333336,194093200.0,6.5,203.1,4.4,72.3156,179.8,5.24,114384,67520.0,28.604,12.422071948027
27,2007-01-01,184.516,2007.0,1.0,55260.0,194822600.0,7.2,203.437,4.6,72.1211,181.1,5.25,116011,68610.0,29.512,12.507803700301
28,2007-01-01,184.598,2007.0,2.0,55331.333333333336,195054500.0,7.9,204.226,4.5,71.96446,181.5,5.26,116011,68610.0,29.512,12.507803700301
29,2007-01-01,184.15,2007.0,3.0,55402.666666666664,195156400.0,7.9,205.288,4.4,71.99565,182.5,5.26,116011,68610.0,29.512,12.507803700301
30,2007-01-01,183.01,2007.0,4.0,55474.0,195253900.0,7.4,205.904,4.5,71.71088,183.7,5.25,116011,68610.0,29.512,12.507803700301
31,2007-01-01,181.6,2007.0,5.0,55532.333333333336,195417400.0,7.8,206.755,4.4,71.75668,184.0,5.25,116011,68610.0,29.512,12.507803700301
32,2007-01-01,180.253,2007.0,6.0,55590.666666666664,195662900.0,8.2,207.234,4.6,71.77589,184.0,5.25,116011,68610.0,29.512,12.507803700301
33,2007-01-01,179.11,2007.0,7.0,55649.0,195834700.0,8.3,207.603,4.7,71.74501,184.2,5.26,116011,68610.0,29.512,12.507803700301
34,2007-01-01,178.116,2007.0,8.0,55718.333333333336,195970800.0,9.2,207.667,4.6,71.58324,183.9,5.02,116011,68610.0,29.512,12.507803700301
35,2007-01-01,177.55700000000002,2007.0,9.0,55787.666666666664,196064700.0,9.2,208.547,4.7,71.71191,183.4,4.94,116011,68610.0,29.512,12.507803700301
36,2007-01-01,176.623,2007.0,10.0,55857.0,196112600.0,8.5,209.19,4.7,71.58403,183.0,4.76,116011,68610.0,29.512,12.507803700301
37,2007-01-01,175.146,2007.0,11.0,55737.0,196172900.0,9.4,210.834,4.7,71.77032,183.3,4.49,116011,68610.0,29.512,12.507803700301
38,2007-01-01,174.34099999999998,2007.0,12.0,55617.0,196411200.0,9.6,211.445,5.0,71.54961999999999,183.5,4.24,116011,68610.0,29.512,12.507803700301
39,2008-01-01,173.13099999999997,2008.0,1.0,55497.0,196060600.0,9.3,212.174,5.0,71.675,184.3,3.94,116783,66280.0,29.876,12.6708585039901
40,2008-01-01,171.53900000000002,2008.0,2.0,55566.333333333336,196238800.0,9.7,212.687,4.9,71.43489,185.7,2.98,116783,66280.0,29.876,12.6708585039901
41,2008-01-01,170.05200000000002,2008.0,3.0,55635.666666666664,196376200.0,10.5,213.448,5.1,71.42358,187.8,2.61,116783,66280.0,29.876,12.6708585039901
42,2008-01-01,168.33700000000002,2008.0,4.0,55705.0,196226800.0,10.3,213.942,5.0,71.40968000000001,190.9,2.28,116783,66280.0,29.876,12.6708585039901
43,2008-01-01,166.658,2008.0,5.0,55562.666666666664,196451800.0,10.7,215.208,5.4,71.20107,195.8,1.98,116783,66280.0,29.876,12.6708585039901
44,2008-01-01,165.016,2008.0,6.0,55420.333333333336,196512500.0,10.7,217.463,5.6,71.12018,200.4,2.0,116783,66280.0,29.876,12.6708585039901
45,2008-01-01,163.564,2008.0,7.0,55278.0,196570000.0,10.5,219.016,5.8,70.9221,203.4,2.01,116783,66280.0,29.876,12.6708585039901
46,2008-01-01,161.986,2008.0,8.0,54832.333333333336,196688200.0,11.3,218.69,6.1,70.70241,206.5,2.0,116783,66280.0,29.876,12.6708585039901
47,2008-01-01,160.30700000000002,2008.0,9.0,54386.666666666664,196838600.0,10.9,218.877,6.1,70.51952,206.3,1.81,116783,66280.0,29.876,12.6708585039901
48,2008-01-01,158.326,2008.0,10.0,53941.0,196975300.0,11.6,216.995,6.5,70.36758,201.8,0.97,116783,66280.0,29.876,12.6708585039901
49,2008-01-01,156.141,2008.0,11.0,53701.0,197131300.0,11.4,213.153,6.8,69.92626,199.6,0.39,116783,66280.0,29.876,12.6708585039901
50,2008-01-01,153.618,2008.0,12.0,53461.0,197421900.0,11.2,211.398,7.3,69.55478000000001,194.8,0.16,116783,66280.0,29.876,12.6708585039901
51,2009-01-01,151.506,2009.0,1.0,53221.0,197061200.0,12.2,211.933,7.8,69.04108000000001,193.3,0.15,117181,65850.0,32.883,12.8562585688817
52,2009-01-01,150.014,2009.0,2.0,53153.0,197289800.0,10.5,212.705,8.3,68.7477,191.2,0.22,117181,65850.0,32.883,12.8562585688817
53,2009-01-01,148.659,2009.0,3.0,53085.0,197534500.0,11.0,212.495,8.7,68.23695,190.2,0.18,117181,65850.0,32.883,12.8562585688817
54,2009-01-01,147.947,2009.0,4.0,53017.0,197857400.0,10.7,212.709,9.0,68.14206,188.1,0.15,117181,65850.0,32.883,12.8562585688817
